method,k,fraction,coverage,quality,redundancy
Diversity-only,22,0.275,1.0,0.9930496402373492,0.4667112540578152
Diversity-only,23,0.2875,1.0,0.9930055330913513,0.4713162328438304
Diversity-only,24,0.3,1.0,0.992672447163093,0.48474485842451576
Diversity-only,25,0.3125,1.0,0.9921270399597991,0.4959306398028617
Diversity-only,26,0.325,1.0,0.9922585686891225,0.5081485397893138
Diversity-only,27,0.3375,1.0,0.9924428818132838,0.5047738663953155
Diversity-only,28,0.35,1.0,0.9927127788913808,0.499040941812434
Diversity-only,29,0.3625,1.0,0.9929567875342941,0.4957858179100442
Diversity-only,30,0.375,1.0,0.9931532959770285,0.49060067218469733
Diversity-only,31,0.3875,1.0,0.9933169429245873,0.49297024834102365
Diversity-only,32,0.4,1.0,0.993458853148804,0.504723360827344
Diversity-only,33,0.4125,1.0,0.9936530185127926,0.503665394118862
Diversity-only,34,0.425,1.0,0.9937429452128806,0.5193359422900328
Diversity-only,35,0.4375,1.0,0.9938149955177228,0.5145789727638347
Diversity-only,36,0.45,1.0,0.9939737336947991,0.51636053298646
Diversity-only,37,0.4625,1.0,0.9940309134726387,0.5205743025847109
Diversity-only,38,0.475,1.0,0.9940316098825477,0.5244547021013425
Diversity-only,39,0.4875,1.0,0.9941184722335858,0.5264474699978362
Diversity-only,40,0.5,1.0,0.994236278801911,0.5268992038287246
Diversity-only,41,0.5125,1.0,0.9942990161637741,0.5322978797650318
Diversity-only,42,0.525,1.0,0.994192623123555,0.540949765900828
Diversity-only,43,0.5375,1.0,0.9943179668961517,0.5400098425267674
Diversity-only,44,0.55,1.0,0.9942567486821989,0.5470638145758672
Diversity-only,45,0.5625,1.0,0.9943407815865113,0.5530320152774428
Diversity-only,46,0.575,1.0,0.9944638080737611,0.5606757854412744
Diversity-only,47,0.5875,1.0,0.9945727143986854,0.5650612611204564
Diversity-only,48,0.6,1.0,0.9946329163073596,0.5742222576949755
Diversity-only,49,0.6125,1.0,0.9946245641355583,0.5804036770460201
Diversity-only,50,0.625,1.0,0.9947174387065058,0.5845220276469034
Diversity-only,51,0.6375,1.0,0.9948210183397115,0.5894235841885586
Diversity-only,52,0.65,1.0,0.9947817823843921,0.5924851572318315
Diversity-only,53,0.6625,1.0,0.9948625930601854,0.6009976838668687
Diversity-only,54,0.675,1.0,0.9949505205689172,0.6090283284883591
Diversity-only,55,0.6875,1.0,0.9949650129122334,0.6155309403419771
Diversity-only,56,0.7,1.0,0.9949570453325842,0.6186919101470499
Diversity-only,57,0.7125,1.0,0.99502875657214,0.6188416387797132
Diversity-only,58,0.725,1.0,0.9951144676657238,0.621125288065642
Diversity-only,59,0.7375,1.0,0.9951716633152711,0.6224229252540888
Diversity-only,60,0.75,1.0,0.9951741539419737,0.6256424276349816
Diversity-only,61,0.7625,1.0,0.9952300877831205,0.6287755109339692
Diversity-only,62,0.775,1.0,0.9952673307202983,0.635610547506139
Diversity-only,63,0.7875,1.0,0.9952566199998489,0.6407314877139022
Diversity-only,64,0.8,1.0,0.9952904992608491,0.6459036637643814
Diversity-only,65,0.8125,1.0,0.99535380707043,0.6499807524114007
Diversity-only,66,0.825,1.0,0.995417101660272,0.6554873167337478
Diversity-only,67,0.8375,1.0,0.9954692254559867,0.6573297476988399
Diversity-only,68,0.85,1.0,0.9954093406525681,0.6605725781723977
Diversity-only,69,0.8625,1.0,0.9953682524898605,0.6645058657690228
Diversity-only,70,0.875,1.0,0.9954312076320593,0.668324859419989
Diversity-only,71,0.8875,1.0,0.9954895033072846,0.67427170639597
Diversity-only,72,0.9,1.0,0.9955485670222397,0.6774452675805632
Diversity-only,73,0.9125,1.0,0.9955966385554245,0.680252487856233
Diversity-only,74,0.925,1.0,0.9956394738096542,0.6822232054053549
Diversity-only,75,0.9375,1.0,0.9956277036443174,0.6890806826140861
Diversity-only,76,0.95,1.0,0.9956325521074791,0.6968663632263788
Diversity-only,77,0.9625,1.0,0.9956892722099794,0.7011400151719615
Diversity-only,78,0.975,1.0,0.9957398980102684,0.7083497834492554
